"","progression","gamma_slowing","n","K","trial_number","p_value_mmrm","drop_first_occasions","constraints","interpolation","inference","B","p_value_TCT_common","estimate","conf_int_TCT_common_lower","conf_int_TCT_common_upper","se_TCT_common","se_TCT_common_bs","conf_int_TCT_common_lower_bs","conf_int_TCT_common_upper_bs"
"1","normal",1,50,5,1,0.26851611721601,0,TRUE,"spline","wald",0,0.344421629080582,0.744526979230264,0.214927235977722,1.27412672248281,0.270208915791289,NA,NA,NA
"2","normal",1,50,5,1,0.26851611721601,0,TRUE,"spline","score",0,0.268793505809258,0.734760098725729,-0.0278861774388034,1.5648136860665,0.329531725235536,NA,NA,NA
"3","normal",1,50,5,1,0.26851611721601,0,TRUE,"spline","least-squares",0,0.292093226529682,0.812006876970554,0.0882564563992383,1.29072520699189,0.189227323793148,NA,NA,NA
"4","normal",1,50,5,1,0.26851611721601,0,FALSE,"spline","wald",0,0.0378128566807732,0.466053044132397,-0.0378364473558169,0.969942535620611,0.257091199360208,NA,NA,NA
"5","normal",1,50,5,1,0.26851611721601,0,FALSE,"spline","score",0,0.229679701651489,0.679464717919814,-0.10934982064219,1.53678451419803,0.4081339316399,NA,NA,NA
"6","normal",1,50,5,1,0.26851611721601,0,FALSE,"spline","least-squares",500,0.708798168557714,0.946210747538366,0.371478790490693,1.41117292971509,0.164124753415339,0.387129875293138,-3.21211930998306e-09,1.47542430130615
"7","normal",1,50,5,1,0.26851611721601,1,TRUE,"spline","wald",0,0.439379886850286,0.786992484493169,0.247073921805135,1.3269110471812,0.275473716326852,NA,NA,NA
"8","normal",1,50,5,1,0.26851611721601,1,TRUE,"spline","least-squares",0,0.31515155197262,0.830438514358524,0.110521888276621,1.34893598063834,0.177377608446084,NA,NA,NA
"9","normal",1,50,5,1,0.26851611721601,1,FALSE,"spline","wald",0,0.156985476305234,0.603892605990326,0.0553407530881016,1.15244445889255,0.279878537171668,NA,NA,NA
"10","normal",1,50,5,1,0.26851611721601,1,FALSE,"spline","least-squares",0,0.573327972963811,0.879346651977193,0.342214429417215,1.6487499944462,0.199373645546395,NA,NA,NA
"11","normal",1,50,5,2,0.544506609249704,0,TRUE,"spline","wald",0,0.010271756173897,0.44185976638668,0.0156310666596141,0.868088466113746,0.217467618328247,NA,NA,NA
"12","normal",1,50,5,2,0.544506609249704,0,TRUE,"spline","score",0,0.884640518601162,0.69475288465614,0.0153249494165942,7.5746532340211,0.330933466817966,NA,NA,NA
"13","normal",1,50,5,2,0.544506609249704,0,TRUE,"spline","least-squares",0,0.224711992343116,0.197192792311982,0.0497719346571777,4.49928773873049,0.22471577297739,NA,NA,NA
"14","normal",1,50,5,2,0.544506609249704,0,FALSE,"spline","wald",0,0.00178664500631487,0.23397380892538,-0.246687202589191,0.714634820439952,0.24523971629375,NA,NA,NA
"15","normal",1,50,5,2,0.544506609249704,0,FALSE,"spline","score",0,0.993009073785334,0.670477495568065,0.0227491095288013,Inf,0.254332591058495,NA,NA,NA
"16","normal",1,50,5,2,0.544506609249704,0,FALSE,"spline","least-squares",500,0.0942564321086604,0.752618045594503,0.0554166694754077,5.90121033042721,0.170867514120711,9.03133841448419,-37.2216206398903,1.6616573165382
"17","normal",1,50,5,2,0.544506609249704,1,TRUE,"spline","wald",0,0.0110024409854443,0.443833628928213,0.0151162008973187,0.872551056959108,0.218737400999489,NA,NA,NA
"18","normal",1,50,5,2,0.544506609249704,1,TRUE,"spline","least-squares",0,0.230828266725468,0.197016711748222,-0.0805253201071638,Inf,0.227728582838836,NA,NA,NA
"19","normal",1,50,5,2,0.544506609249704,1,FALSE,"spline","wald",0,0.00179644888704544,0.234266620248027,-0.246458552114282,0.714991792610336,0.245272452021674,NA,NA,NA
